n,quantifier_category,group,seq,seq_test,cognitive_load,quantifier,target_col,filler_col,t1_n,t2_n,f1_n,f2_n,t1_col,t2_col,f1_col,f2_col,overall_condition_pic,distance,t1_x,t1_y,t2_x,t2_y,f1_x,f1_y,f2_x,f2_y
4,number,0,L M H,HML,high_load,4,green,purple,1,5,5,1,green,purple,purple,purple,inferior,n-3,400,150,200,150,300,250,300,50
4,number,0,L H X,XHL,high_load,4,green,black,1,1,6,5,green,green,black,black,inferior,n-2,300,50,300,250,400,150,200,150
4,number,0,R Q M,MQR,high_load,4,red,black,2,1,6,5,red,red,black,black,inferior,n-1,300,50,300,250,400,150,200,150
4,number,0,B H M,MHB,high_load,4,green,black,1,3,5,5,green,green,black,black,intermediate,n,300,50,300,250,400,150,200,150
4,number,0,J Q L,LQJ,high_load,4,red,purple,2,3,5,2,red,red,purple,purple,superior,n+1,400,150,200,150,300,250,300,50
4,number,0,X L Q,QLX,high_load,4,green,black,5,1,5,4,green,green,black,black,superior,n+2,400,150,200,150,300,250,300,50
4,number,0,R L B,BLR,high_load,4,green,blue,5,2,1,4,green,green,blue,blue,superior,n+3,400,150,200,150,300,250,300,50
5,number,0,X H R,RHX,high_load,5,green,black,1,1,6,5,green,green,black,black,inferior,n-3,300,50,300,250,400,150,200,150
5,number,0,M B J,JBM,high_load,5,red,black,1,2,3,6,red,red,black,black,inferior,n-2,300,50,300,250,400,150,200,150
5,number,0,X M R,RMX,high_load,5,green,blue,1,3,4,5,green,green,blue,blue,inferior,n-1,400,150,200,150,300,250,300,50
5,number,0,B Q L,LQB,high_load,5,red,yellow,3,2,5,4,red,red,yellow,yellow,intermediate,n,300,50,300,250,400,150,200,150
5,number,0,M R Q,QRM,high_load,5,blue,green,4,2,1,5,blue,blue,green,green,superior,n+1,300,50,300,250,400,150,200,150
5,number,0,H X Q,QXH,high_load,5,blue,gray,1,6,3,6,blue,blue,gray,gray,superior,n+2,300,50,300,250,400,150,200,150
5,number,0,L R J,JRL,high_load,5,blue,red,2,6,3,1,blue,blue,red,red,superior,n+3,300,50,300,250,400,150,200,150
Some,Some,0,F R H,HRF,high_load,Some,red,black,2,5,3,6,black,black,black,black,null,null,400,150,200,150,300,250,300,50
Some,Some,0,F H B,BHF,high_load,Some,blue,black,1,3,4,4,black,black,black,black,null,null,300,50,300,250,400,150,200,150
Some,Some,0,M F H,HFM,high_load,Some,blue,green,3,4,1,6,blue,blue,green,green,partial,partial,300,50,300,250,400,150,200,150
Some,Some,0,B L Q,QLB,high_load,Some,green,blue,5,1,6,1,green,green,blue,blue,partial,partial,300,50,300,250,400,150,200,150
Some,Some,0,B M R,RMB,high_load,Some,green,red,2,6,6,2,green,green,green,green,total_target,total_target,300,50,300,250,400,150,200,150
Some,Some,0,H L M,MLH,high_load,Some,blue,green,2,4,2,4,blue,blue,blue,blue,total_target,total_target,300,50,300,250,400,150,200,150
All,All,0,X B Q,QBX,high_load,All,red,purple,1,4,5,6,purple,purple,purple,purple,null,null,300,50,300,250,400,150,200,150
All,All,0,B F L,LFB,high_load,All,blue,yellow,4,5,4,2,yellow,yellow,yellow,yellow,null,null,400,150,200,150,300,250,300,50
All,All,0,H J R,RJH,high_load,All,green,yellow,3,3,3,3,green,green,yellow,yellow,partial,partial,400,150,200,150,300,250,300,50
All,All,0,X F L,LFX,high_load,All,blue,yellow,3,5,1,5,blue,blue,yellow,yellow,partial,partial,300,50,300,250,400,150,200,150
All,All,0,B J X,XJB,high_load,All,red,blue,5,3,2,3,red,red,red,red,total_target,total_target,300,50,300,250,400,150,200,150
All,All,0,H L B,BLH,high_load,All,blue,yellow,3,3,1,6,blue,blue,blue,blue,total_target,total_target,300,50,300,250,400,150,200,150
2,filler_item,0,H R M,MRH,high_load,2,red,green,1,3,5,4,red,green,green,green,filler_item,filler_item,300,50,300,250,400,150,200,150
8,filler_item,0,R Q M,MQR,high_load,8,red,blue,3,5,5,3,red,red,blue,blue,filler_item,filler_item,400,150,200,150,300,250,300,50
10,filler_item,0,J X R,RXJ,high_load,10,green,yellow,1,5,5,5,green,green,yellow,yellow,filler_item,filler_item,400,150,200,150,300,250,300,50
12,filler_item,0,F M J,JMF,high_load,12,red,gray,6,6,1,2,red,red,gray,gray,filler_item,filler_item,400,150,200,150,300,250,300,50
4,number,1,J R L,LRJ,high_load,4,red,blue,1,2,5,6,red,blue,blue,blue,inferior,n-3,300,50,300,250,400,150,200,150
4,number,1,J H F,FHJ,high_load,4,blue,gray,1,1,6,4,blue,blue,gray,gray,inferior,n-2,400,150,200,150,300,250,300,50
4,number,1,J M B,BMJ,high_load,4,green,red,1,2,6,3,green,green,red,red,inferior,n-1,400,150,200,150,300,250,300,50
4,number,1,X R M,MRX,high_load,4,red,black,1,3,6,4,red,red,black,black,intermediate,n,300,50,300,250,400,150,200,150
4,number,1,R J X,XJR,high_load,4,red,blue,3,2,4,4,red,red,blue,blue,superior,n+1,400,150,200,150,300,250,300,50
4,number,1,Q F X,XFQ,high_load,4,green,yellow,1,5,2,4,green,green,yellow,yellow,superior,n+2,300,50,300,250,400,150,200,150
4,number,1,J M H,HMJ,high_load,4,green,yellow,5,2,3,2,green,green,yellow,yellow,superior,n+3,400,150,200,150,300,250,300,50
5,number,1,Q L X,XLQ,high_load,5,green,black,1,1,6,6,green,green,black,black,inferior,n-3,300,50,300,250,400,150,200,150
5,number,1,J M H,HMJ,high_load,5,red,green,1,2,6,5,red,red,green,green,inferior,n-2,400,150,200,150,300,250,300,50
5,number,1,X B L,LBX,high_load,5,blue,black,1,3,4,4,blue,blue,black,black,inferior,n-1,400,150,200,150,300,250,300,50
5,number,1,Q J X,XJQ,high_load,5,blue,yellow,3,2,3,6,blue,blue,yellow,yellow,intermediate,n,300,50,300,250,400,150,200,150
5,number,1,J H L,LHJ,high_load,5,green,black,4,2,4,2,green,green,black,black,superior,n+1,400,150,200,150,300,250,300,50
5,number,1,J R M,MRJ,high_load,5,green,black,1,6,3,6,green,green,black,black,superior,n+2,400,150,200,150,300,250,300,50
5,number,1,J M X,XMJ,high_load,5,red,gray,2,6,5,1,red,red,gray,gray,superior,n+3,400,150,200,150,300,250,300,50
Some,Some,1,H J B,BJH,high_load,Some,blue,green,5,1,4,5,green,green,green,green,null,null,400,150,200,150,300,250,300,50
Some,Some,1,H L B,BLH,high_load,Some,green,red,5,4,1,2,red,red,red,red,null,null,300,50,300,250,400,150,200,150
Some,Some,1,X F Q,QFX,high_load,Some,blue,green,5,4,2,2,blue,blue,green,green,partial,partial,300,50,300,250,400,150,200,150
Some,Some,1,Q R J,JRQ,high_load,Some,green,purple,2,5,5,2,green,green,purple,purple,partial,partial,300,50,300,250,400,150,200,150
Some,Some,1,J R M,MRJ,high_load,Some,green,black,5,2,1,5,green,green,green,green,total_target,total_target,300,50,300,250,400,150,200,150
Some,Some,1,B L M,MLB,high_load,Some,red,yellow,4,4,1,5,red,red,red,red,total_target,total_target,400,150,200,150,300,250,300,50
All,All,1,J X B,BXJ,high_load,All,red,black,3,3,2,6,black,black,black,black,null,null,300,50,300,250,400,150,200,150
All,All,1,L X M,MXL,high_load,All,green,purple,4,4,2,3,purple,purple,purple,purple,null,null,300,50,300,250,400,150,200,150
All,All,1,M L X,XLM,high_load,All,red,gray,5,2,5,4,red,red,gray,gray,partial,partial,300,50,300,250,400,150,200,150
All,All,1,R X M,MXR,high_load,All,green,red,5,1,2,6,green,green,red,red,partial,partial,300,50,300,250,400,150,200,150
All,All,1,F X B,BXF,high_load,All,red,green,4,5,3,1,red,red,red,red,total_target,total_target,400,150,200,150,300,250,300,50
All,All,1,H R J,JRH,high_load,All,blue,yellow,1,4,3,5,blue,blue,blue,blue,total_target,total_target,300,50,300,250,400,150,200,150
2,filler_item,1,B H F,FHB,high_load,2,red,green,1,6,3,3,red,green,green,green,filler_item,filler_item,300,50,300,250,400,150,200,150
8,filler_item,1,M B X,XBM,high_load,8,blue,black,2,6,4,1,blue,blue,black,black,filler_item,filler_item,300,50,300,250,400,150,200,150
10,filler_item,1,L X H,HXL,high_load,10,red,blue,4,2,4,6,red,red,blue,blue,filler_item,filler_item,300,50,300,250,400,150,200,150
12,filler_item,1,B H Q,QHB,high_load,12,green,blue,6,6,2,2,green,green,blue,blue,filler_item,filler_item,300,50,300,250,400,150,200,150
4,number,2,J L M,MLJ,high_load,4,red,blue,1,1,6,6,red,blue,blue,blue,inferior,n-3,400,150,200,150,300,250,300,50
4,number,2,J Q R,RQJ,high_load,4,red,blue,1,1,4,6,red,red,blue,blue,inferior,n-2,400,150,200,150,300,250,300,50
4,number,2,X F L,LFX,high_load,4,blue,yellow,1,2,5,6,blue,blue,yellow,yellow,inferior,n-1,300,50,300,250,400,150,200,150
4,number,2,J X M,MXJ,high_load,4,green,red,1,3,6,2,green,green,red,red,intermediate,n,300,50,300,250,400,150,200,150
4,number,2,J L H,HLJ,high_load,4,red,gray,2,3,4,5,red,red,gray,gray,superior,n+1,300,50,300,250,400,150,200,150
4,number,2,Q L F,FLQ,high_load,4,blue,green,5,1,3,4,blue,blue,green,green,superior,n+2,300,50,300,250,400,150,200,150
4,number,2,M L H,HLM,high_load,4,blue,gray,5,2,1,4,blue,blue,gray,gray,superior,n+3,300,50,300,250,400,150,200,150
5,number,2,F H J,JHF,high_load,5,red,green,1,1,6,5,red,red,green,green,inferior,n-3,400,150,200,150,300,250,300,50
5,number,2,H J L,LJH,high_load,5,green,yellow,1,2,4,5,green,green,yellow,yellow,inferior,n-2,300,50,300,250,400,150,200,150
5,number,2,L B M,MBL,high_load,5,green,black,1,3,6,4,green,green,black,black,inferior,n-1,400,150,200,150,300,250,300,50
5,number,2,X R F,FRX,high_load,5,red,blue,1,4,5,2,red,red,blue,blue,intermediate,n,400,150,200,150,300,250,300,50
5,number,2,B J L,LJB,high_load,5,green,blue,4,2,4,4,green,green,blue,blue,superior,n+1,400,150,200,150,300,250,300,50
5,number,2,B J Q,QJB,high_load,5,red,yellow,6,1,6,2,red,red,yellow,yellow,superior,n+2,300,50,300,250,400,150,200,150
