n,quantifier_category,group,seq,seq_test,cognitive_load,quantifier,target_col,filler_col,t1_n,t2_n,f1_n,f2_n,t1_col,t2_col,f1_col,f2_col,overall_condition_pic,distance,t1_x,t1_y,t2_x,t2_y,f1_x,f1_y,f2_x,f2_y
Some,Some,1,J R F H,FRJH,high_load,Some,red,black,2,4,5,3,black,black,black,black,null,null,300,50,300,250,400,150,200,150
Some,Some,1,L B M X,MBLX,high_load,Some,blue,green,4,2,4,2,blue,blue,green,green,partial,partial,400,150,200,150,300,250,300,50
Some,Some,1,M B L X,LBMX,high_load,Some,green,blue,2,3,6,4,green,green,blue,blue,partial,partial,300,50,300,250,400,150,200,150
Some,Some,1,B L Q J,QLBJ,high_load,Some,blue,red,4,1,4,5,blue,blue,blue,blue,total_target,total_target,300,50,300,250,400,150,200,150
Some,Some,1,J M Q F,QMJF,high_load,Some,red,yellow,1,6,4,1,red,red,red,red,total_target,total_target,300,50,300,250,400,150,200,150
Some,Some,1,M R X L,XRML,high_load,Some,blue,red,4,3,3,4,blue,blue,blue,blue,total_target,total_target,300,50,300,250,400,150,200,150
Some,Some,1,F X B Q,BXFQ,high_load,Some,red,blue,1,5,1,6,red,red,red,red,total_target,total_target,400,150,200,150,300,250,300,50
All,All,1,B X M H,MXBH,high_load,All,red,blue,4,1,5,2,red,red,blue,blue,partial,partial,300,50,300,250,400,150,200,150
All,All,1,M X J L,JXML,high_load,All,blue,gray,6,2,2,5,blue,blue,gray,gray,partial,partial,300,50,300,250,400,150,200,150
All,All,1,M B R F,RBMF,high_load,All,red,purple,4,2,1,5,red,red,red,red,total_target,total_target,300,50,300,250,400,150,200,150
All,All,1,B H R F,RHBF,high_load,All,red,purple,4,6,4,2,red,red,red,red,total_target,total_target,300,50,300,250,400,150,200,150
2,filler_item,1,Q X H J,HXQJ,high_load,2,green,blue,1,6,2,3,green,blue,blue,blue,filler_item,filler_item,400,150,200,150,300,250,300,50
8,filler_item,1,Q F X M,XFQM,high_load,8,green,yellow,5,3,3,2,green,green,yellow,yellow,filler_item,filler_item,300,50,300,250,400,150,200,150
10,filler_item,1,H M F L,FMHL,high_load,10,blue,gray,4,2,4,4,blue,blue,gray,gray,filler_item,filler_item,400,150,200,150,300,250,300,50
12,filler_item,1,M Q B L,BQML,high_load,12,red,yellow,6,6,1,2,red,red,yellow,yellow,filler_item,filler_item,400,150,200,150,300,250,300,50
Between 3 and 5,filler_item,1,R F H Q,HFRQ,high_load,Between 3 and 5,red,black,2,6,4,2,red,red,black,black,filler_item,filler_item,300,50,300,250,400,150,200,150
More than 2,filler_item,1,F J B Q,BJFQ,high_load,More than 2,red,purple,1,4,3,5,red,purple,purple,purple,filler_item,filler_item,300,50,300,250,400,150,200,150
4,number,2,H M L J,LMHJ,high_load,4,green,yellow,1,6,3,5,green,yellow,yellow,yellow,inferior,n-3,300,50,300,250,400,150,200,150
4,number,2,X M H J,HMXJ,high_load,4,blue,gray,1,3,4,5,blue,gray,gray,gray,inferior,n-3,400,150,200,150,300,250,300,50
4,number,2,Q L R B,RLQB,high_load,4,green,blue,3,1,6,4,green,green,blue,blue,intermediate,n,400,150,200,150,300,250,300,50
4,number,2,L F H J,HFLJ,high_load,4,green,blue,3,1,6,5,green,green,blue,blue,intermediate,n,400,150,200,150,300,250,300,50
4,number,2,Q F J L,JFQL,high_load,4,red,black,4,3,3,5,red,red,black,black,superior,n+3,400,150,200,150,300,250,300,50
4,number,2,B F R H,RFBH,high_load,4,red,black,1,6,4,2,red,red,black,black,superior,n+3,400,150,200,150,300,250,300,50
5,number,2,L H J Q,JHLQ,high_load,5,blue,gray,1,1,4,6,blue,blue,gray,gray,inferior,n-3,300,50,300,250,400,150,200,150
5,number,2,F B M X,MBFX,high_load,5,blue,yellow,1,1,5,6,blue,blue,yellow,yellow,inferior,n-3,400,150,200,150,300,250,300,50
5,number,2,M B H J,HBMJ,high_load,5,blue,black,3,2,1,6,blue,blue,black,black,intermediate,n,300,50,300,250,400,150,200,150
5,number,2,M X B F,BXMF,high_load,5,blue,red,2,3,1,6,blue,blue,red,red,intermediate,n,400,150,200,150,300,250,300,50
5,number,2,J X L F,LXJF,high_load,5,blue,gray,5,3,2,4,blue,blue,gray,gray,superior,n+3,300,50,300,250,400,150,200,150
5,number,2,B M J F,JMBF,high_load,5,green,black,2,6,3,1,green,green,black,black,superior,n+3,300,50,300,250,400,150,200,150
Some,Some,2,F B H J,HBFJ,high_load,Some,blue,black,5,2,4,4,black,black,black,black,null,null,300,50,300,250,400,150,200,150
Some,Some,2,R M B Q,BMRQ,high_load,Some,blue,red,4,3,2,3,red,red,red,red,null,null,300,50,300,250,400,150,200,150
Some,Some,2,Q M X H,XMQH,high_load,Some,blue,black,3,4,6,2,blue,blue,black,black,partial,partial,300,50,300,250,400,150,200,150
Some,Some,2,M R B X,BRMX,high_load,Some,blue,gray,6,4,3,1,blue,blue,gray,gray,partial,partial,400,150,200,150,300,250,300,50
