n,quantifier_category,group,seq,seq_test,cognitive_load,quantifier,target_col,filler_col,t1_n,t2_n,f1_n,f2_n,t1_col,t2_col,f1_col,f2_col,overall_condition_pic,distance,t1_x,t1_y,t2_x,t2_y,f1_x,f1_y,f2_x,f2_y
Some,Some,1,M X R,RXM,high_load,Some,green,blue,3,3,2,4,blue,blue,blue,blue,null,null,400,150,200,150,300,250,300,50
Some,Some,1,R H M,MHR,high_load,Some,red,black,2,2,4,4,black,black,black,black,null,null,400,150,200,150,300,250,300,50
Some,Some,1,F Q L,LQF,high_load,Some,green,purple,1,2,6,3,green,green,purple,purple,partial,partial,300,50,300,250,400,150,200,150
Some,Some,1,H J F,FJH,high_load,Some,blue,gray,1,1,5,6,blue,blue,gray,gray,partial,partial,400,150,200,150,300,250,300,50
Some,Some,1,X M F,FMX,high_load,Some,green,purple,3,3,6,1,green,green,green,green,total_target,total_target,300,50,300,250,400,150,200,150
Some,Some,1,L X M,MXL,high_load,Some,red,green,2,3,6,2,red,red,red,red,total_target,total_target,300,50,300,250,400,150,200,150
All,All,1,J H B,BHJ,high_load,All,blue,gray,3,3,5,5,gray,gray,gray,gray,null,null,300,50,300,250,400,150,200,150
All,All,1,X L H,HLX,high_load,All,red,gray,2,5,3,4,gray,gray,gray,gray,null,null,400,150,200,150,300,250,300,50
All,All,1,Q M H,HMQ,high_load,All,blue,yellow,3,3,4,5,blue,blue,yellow,yellow,partial,partial,400,150,200,150,300,250,300,50
All,All,1,J M X,XMJ,high_load,All,blue,black,6,3,1,2,blue,blue,black,black,partial,partial,400,150,200,150,300,250,300,50
All,All,1,Q F X,XFQ,high_load,All,red,purple,2,6,4,3,red,red,red,red,total_target,total_target,400,150,200,150,300,250,300,50
All,All,1,B F M,MFB,high_load,All,green,purple,6,3,2,3,green,green,green,green,total_target,total_target,400,150,200,150,300,250,300,50
2,filler_item,1,L F M,MFL,high_load,Two,green,blue,1,5,3,3,green,blue,blue,blue,filler_item,filler_item,300,50,300,250,400,150,200,150
8,filler_item,1,Q L H,HLQ,high_load,Eight,green,black,5,3,6,2,green,green,black,black,filler_item,filler_item,300,50,300,250,400,150,200,150
10,filler_item,1,Q J X,XJQ,high_load,Six,green,blue,2,4,5,1,green,green,blue,blue,filler_item,filler_item,400,150,200,150,300,250,300,50
12,filler_item,1,F M Q,QMF,high_load,Twelve,green,blue,6,6,2,2,green,green,blue,blue,filler_item,filler_item,400,150,200,150,300,250,300,50
4,number,2,B R L,LRB,high_load,Four,blue,black,1,6,2,6,blue,black,black,black,inferior,n-3,300,50,300,250,400,150,200,150
4,number,2,B M X,XMB,high_load,Four,red,yellow,1,1,5,6,red,red,yellow,yellow,inferior,n-2,300,50,300,250,400,150,200,150
4,number,2,J R B,BRJ,high_load,Four,red,yellow,1,2,3,6,red,red,yellow,yellow,inferior,n-1,400,150,200,150,300,250,300,50
4,number,2,H M Q,QMH,high_load,Four,green,purple,1,3,4,6,green,green,purple,purple,intermediate,n,300,50,300,250,400,150,200,150
4,number,2,X R J,JRX,high_load,Four,red,green,2,3,2,5,red,red,green,green,superior,n+1,400,150,200,150,300,250,300,50
4,number,2,R J B,BJR,high_load,Four,blue,yellow,5,1,1,5,blue,blue,yellow,yellow,superior,n+2,400,150,200,150,300,250,300,50
4,number,2,B Q H,HQB,high_load,Four,blue,gray,1,6,6,3,blue,blue,gray,gray,superior,n+3,300,50,300,250,400,150,200,150
5,number,2,Q H B,BHQ,high_load,Five,red,purple,1,1,6,5,red,red,purple,purple,inferior,n-3,300,50,300,250,400,150,200,150
5,number,2,L F M,MFL,high_load,Five,blue,gray,1,2,3,6,blue,blue,gray,gray,inferior,n-2,400,150,200,150,300,250,300,50
5,number,2,X F L,LFX,high_load,Five,green,red,1,3,5,3,green,green,red,red,inferior,n-1,300,50,300,250,400,150,200,150
5,number,2,M L H,HLM,high_load,Five,red,purple,2,3,5,4,red,red,purple,purple,intermediate,n,400,150,200,150,300,250,300,50
5,number,2,R J B,BJR,high_load,Five,blue,red,2,4,4,6,blue,blue,red,red,superior,n+1,400,150,200,150,300,250,300,50
5,number,2,J H M,MHJ,high_load,Five,blue,black,4,3,4,4,blue,blue,black,black,superior,n+2,400,150,200,150,300,250,300,50
5,number,2,M B L,LBM,high_load,Five,red,gray,6,2,1,4,red,red,gray,gray,superior,n+3,400,150,200,150,300,250,300,50
Some,Some,2,F X Q,QXF,high_load,Some,green,purple,3,5,6,1,purple,purple,purple,purple,null,null,300,50,300,250,400,150,200,150
Some,Some,2,R M L,LMR,high_load,Some,green,blue,1,1,6,5,blue,blue,blue,blue,null,null,400,150,200,150,300,250,300,50
Some,Some,2,R L F,FLR,high_load,Some,blue,gray,1,3,6,3,blue,blue,gray,gray,partial,partial,400,150,200,150,300,250,300,50
Some,Some,2,Q F H,HFQ,high_load,Some,green,yellow,4,5,1,3,green,green,yellow,yellow,partial,partial,300,50,300,250,400,150,200,150
Some,Some,2,H B X,XBH,high_load,Some,blue,yellow,5,2,4,2,blue,blue,blue,blue,total_target,total_target,400,150,200,150,300,250,300,50
Some,Some,2,B F R,RFB,high_load,Some,blue,black,4,1,3,6,blue,blue,blue,blue,total_target,total_target,300,50,300,250,400,150,200,150
All,All,2,Q F H,HFQ,high_load,All,blue,black,4,2,1,6,black,black,black,black,null,null,300,50,300,250,400,150,200,150
All,All,2,L B X,XBL,high_load,All,green,purple,4,1,6,4,purple,purple,purple,purple,null,null,400,150,200,150,300,250,300,50
All,All,2,B J L,LJB,high_load,All,blue,green,2,6,4,3,blue,blue,green,green,partial,partial,400,150,200,150,300,250,300,50
