n,quantifier_category,group,seq,seq_test,cognitive_load,quantifier,target_col,filler_col,t1_n,t2_n,f1_n,f2_n,t1_col,t2_col,f1_col,f2_col,overall_condition_pic,distance,t1_x,t1_y,t2_x,t2_y,f1_x,f1_y,f2_x,f2_y
Some,Some,1,F B,BF,low_load,Some,red,gray,4,4,1,3,gray,gray,gray,gray,null,null,300,50,300,250,400,150,200,150
Some,Some,1,L H,HL,low_load,Some,green,red,3,5,3,2,green,green,red,red,partial,partial,300,50,300,250,400,150,200,150
Some,Some,1,H B,BH,low_load,Some,green,red,2,1,3,6,green,green,red,red,partial,partial,400,150,200,150,300,250,300,50
Some,Some,1,H F,FH,low_load,Some,green,purple,1,2,5,6,green,green,green,green,total_target,total_target,400,150,200,150,300,250,300,50
Some,Some,1,L J,JL,low_load,Some,green,yellow,5,1,3,5,green,green,green,green,total_target,total_target,300,50,300,250,400,150,200,150
All,All,1,L R,RL,low_load,All,blue,red,3,4,3,3,red,red,red,red,null,null,300,50,300,250,400,150,200,150
All,All,1,J B,BJ,low_load,All,green,yellow,1,3,6,2,yellow,yellow,yellow,yellow,null,null,400,150,200,150,300,250,300,50
All,All,1,L B,BL,low_load,All,blue,black,4,2,4,6,blue,blue,black,black,partial,partial,400,150,200,150,300,250,300,50
All,All,1,B Q,QB,low_load,All,red,gray,1,4,5,6,red,red,gray,gray,partial,partial,300,50,300,250,400,150,200,150
All,All,1,F M,MF,low_load,All,green,purple,6,3,4,2,green,green,green,green,total_target,total_target,300,50,300,250,400,150,200,150
All,All,1,M Q,QM,low_load,All,blue,black,4,5,1,6,blue,blue,blue,blue,total_target,total_target,400,150,200,150,300,250,300,50
2,filler_item,1,F M,MF,low_load,Two,green,blue,1,4,3,4,green,blue,blue,blue,filler_item,filler_item,300,50,300,250,400,150,200,150
8,filler_item,1,M B,BM,low_load,Eight,green,red,5,3,1,3,green,green,red,red,filler_item,filler_item,300,50,300,250,400,150,200,150
10,filler_item,1,R F,FR,low_load,Six,blue,red,4,2,1,5,blue,blue,red,red,filler_item,filler_item,400,150,200,150,300,250,300,50
12,filler_item,1,M Q,QM,low_load,Twelve,blue,black,6,6,1,3,blue,blue,black,black,filler_item,filler_item,400,150,200,150,300,250,300,50
4,number,2,H F,FH,low_load,Four,red,purple,1,3,6,6,red,purple,purple,purple,inferior,n-3,300,50,300,250,400,150,200,150
4,number,2,B F,FB,low_load,Four,green,black,1,1,6,5,green,green,black,black,inferior,n-2,300,50,300,250,400,150,200,150
4,number,2,Q J,JQ,low_load,Four,blue,gray,1,2,3,6,blue,blue,gray,gray,inferior,n-1,300,50,300,250,400,150,200,150
4,number,2,H Q,QH,low_load,Four,red,yellow,1,3,2,6,red,red,yellow,yellow,intermediate,n,300,50,300,250,400,150,200,150
4,number,2,L J,JL,low_load,Four,red,black,2,3,4,3,red,red,black,black,superior,n+1,300,50,300,250,400,150,200,150
