n,quantifier_category,group,seq,seq_test,cognitive_load,quantifier,target_col,filler_col,t1_n,t2_n,f1_n,f2_n,t1_col,t2_col,f1_col,f2_col,overall_condition_pic,distance,t1_x,t1_y,t2_x,t2_y,f1_x,f1_y,f2_x,f2_y
4,number,0,F H,HF,low_load,4,red,gray,1,5,6,1,red,gray,gray,gray,inferior,n-3,300,50,300,250,400,150,200,150
4,number,0,Q B,BQ,low_load,4,red,gray,1,1,6,6,red,red,gray,gray,inferior,n-2,400,150,200,150,300,250,300,50
4,number,0,H X,XH,low_load,4,red,blue,2,1,6,5,red,red,blue,blue,inferior,n-1,300,50,300,250,400,150,200,150
4,number,0,J H,HJ,low_load,4,blue,black,1,3,3,6,blue,blue,black,black,intermediate,n,400,150,200,150,300,250,300,50
4,number,0,M J,JM,low_load,4,red,green,3,2,5,3,red,red,green,green,superior,n+1,400,150,200,150,300,250,300,50
4,number,0,Q X,XQ,low_load,4,blue,yellow,5,1,5,5,blue,blue,yellow,yellow,superior,n+2,400,150,200,150,300,250,300,50
4,number,0,M J,JM,low_load,4,blue,yellow,1,6,1,5,blue,blue,yellow,yellow,superior,n+3,300,50,300,250,400,150,200,150
5,number,0,H F,FH,low_load,5,red,yellow,1,1,5,5,red,red,yellow,yellow,inferior,n-3,300,50,300,250,400,150,200,150
5,number,0,M R,RM,low_load,5,red,yellow,1,2,4,6,red,red,yellow,yellow,inferior,n-2,400,150,200,150,300,250,300,50
5,number,0,Q F,FQ,low_load,5,blue,green,3,1,6,3,blue,blue,green,green,inferior,n-1,400,150,200,150,300,250,300,50
5,number,0,L J,JL,low_load,5,green,black,4,1,6,4,green,green,black,black,intermediate,n,400,150,200,150,300,250,300,50
5,number,0,H M,MH,low_load,5,green,red,2,4,4,6,green,green,red,red,superior,n+1,400,150,200,150,300,250,300,50
5,number,0,R M,MR,low_load,5,green,black,4,3,3,6,green,green,black,black,superior,n+2,300,50,300,250,400,150,200,150
5,number,0,Q M,MQ,low_load,5,green,blue,6,2,1,6,green,green,blue,blue,superior,n+3,400,150,200,150,300,250,300,50
Some,Some,0,Q F,FQ,low_load,Some,blue,black,2,4,4,6,black,black,black,black,null,null,400,150,200,150,300,250,300,50
Some,Some,0,L Q,QL,low_load,Some,green,black,1,6,6,3,black,black,black,black,null,null,300,50,300,250,400,150,200,150
Some,Some,0,R Q,QR,low_load,Some,red,gray,5,5,1,5,red,red,gray,gray,partial,partial,300,50,300,250,400,150,200,150
Some,Some,0,H F,FH,low_load,Some,red,black,5,1,6,1,red,red,black,black,partial,partial,300,50,300,250,400,150,200,150
Some,Some,0,R J,JR,low_load,Some,blue,yellow,5,6,4,1,blue,blue,blue,blue,total_target,total_target,300,50,300,250,400,150,200,150
Some,Some,0,L F,FL,low_load,Some,blue,yellow,3,6,1,6,blue,blue,blue,blue,total_target,total_target,400,150,200,150,300,250,300,50
All,All,0,F R,RF,low_load,All,red,black,4,4,6,1,black,black,black,black,null,null,300,50,300,250,400,150,200,150
All,All,0,B F,FB,low_load,All,blue,black,3,5,1,4,black,black,black,black,null,null,300,50,300,250,400,150,200,150
All,All,0,X R,RX,low_load,All,blue,green,6,6,1,3,blue,blue,green,green,partial,partial,400,150,200,150,300,250,300,50
All,All,0,B J,JB,low_load,All,blue,gray,3,5,1,4,blue,blue,gray,gray,partial,partial,300,50,300,250,400,150,200,150
All,All,0,F B,BF,low_load,All,blue,red,5,6,2,2,blue,blue,blue,blue,total_target,total_target,400,150,200,150,300,250,300,50
All,All,0,F Q,QF,low_load,All,green,blue,4,3,6,3,green,green,green,green,total_target,total_target,300,50,300,250,400,150,200,150
2,filler_item,0,M R,RM,low_load,2,green,black,1,5,3,4,green,black,black,black,filler_item,filler_item,300,50,300,250,400,150,200,150
8,filler_item,0,Q F,FQ,low_load,8,green,blue,2,6,2,3,green,green,blue,blue,filler_item,filler_item,300,50,300,250,400,150,200,150
10,filler_item,0,B M,MB,low_load,10,red,blue,1,5,5,3,red,red,blue,blue,filler_item,filler_item,300,50,300,250,400,150,200,150
12,filler_item,0,L R,RL,low_load,12,red,black,6,6,3,1,red,red,black,black,filler_item,filler_item,300,50,300,250,400,150,200,150
4,number,1,H L,LH,low_load,4,green,black,1,2,5,4,green,black,black,black,inferior,n-3,400,150,200,150,300,250,300,50
4,number,1,B F,FB,low_load,4,green,black,1,1,6,4,green,green,black,black,inferior,n-2,300,50,300,250,400,150,200,150
4,number,1,J Q,QJ,low_load,4,blue,black,1,2,6,3,blue,blue,black,black,inferior,n-1,300,50,300,250,400,150,200,150
4,number,1,X F,FX,low_load,4,red,black,1,3,6,4,red,red,black,black,intermediate,n,400,150,200,150,300,250,300,50
4,number,1,M R,RM,low_load,4,blue,red,2,3,4,5,blue,blue,red,red,superior,n+1,400,150,200,150,300,250,300,50
4,number,1,H J,JH,low_load,4,red,green,5,1,3,6,red,red,green,green,superior,n+2,400,150,200,150,300,250,300,50
4,number,1,M J,JM,low_load,4,blue,yellow,6,1,4,2,blue,blue,yellow,yellow,superior,n+3,400,150,200,150,300,250,300,50
5,number,1,Q B,BQ,low_load,5,blue,gray,1,1,6,5,blue,blue,gray,gray,inferior,n-3,300,50,300,250,400,150,200,150
5,number,1,H F,FH,low_load,5,green,blue,2,1,6,5,green,green,blue,blue,inferior,n-2,300,50,300,250,400,150,200,150
5,number,1,Q L,LQ,low_load,5,blue,yellow,1,3,5,3,blue,blue,yellow,yellow,inferior,n-1,300,50,300,250,400,150,200,150
5,number,1,R X,XR,low_load,5,blue,green,1,4,4,6,blue,blue,green,green,intermediate,n,400,150,200,150,300,250,300,50
5,number,1,X R,RX,low_load,5,green,blue,4,2,6,1,green,green,blue,blue,superior,n+1,300,50,300,250,400,150,200,150
5,number,1,M R,RM,low_load,5,blue,red,3,4,6,3,blue,blue,red,red,superior,n+2,300,50,300,250,400,150,200,150
5,number,1,F J,JF,low_load,5,blue,gray,6,2,1,4,blue,blue,gray,gray,superior,n+3,400,150,200,150,300,250,300,50
Some,Some,1,X L,LX,low_load,Some,blue,red,2,2,5,5,red,red,red,red,null,null,400,150,200,150,300,250,300,50
Some,Some,1,M X,XM,low_load,Some,green,blue,3,2,4,4,blue,blue,blue,blue,null,null,400,150,200,150,300,250,300,50
Some,Some,1,X H,HX,low_load,Some,blue,black,3,2,4,6,blue,blue,black,black,partial,partial,300,50,300,250,400,150,200,150
Some,Some,1,J F,FJ,low_load,Some,red,green,3,1,4,6,red,red,green,green,partial,partial,400,150,200,150,300,250,300,50
Some,Some,1,B Q,QB,low_load,Some,red,blue,4,3,6,3,red,red,red,red,total_target,total_target,400,150,200,150,300,250,300,50
Some,Some,1,H J,JH,low_load,Some,green,yellow,4,2,2,6,green,green,green,green,total_target,total_target,400,150,200,150,300,250,300,50
All,All,1,X M,MX,low_load,All,red,blue,1,4,4,5,blue,blue,blue,blue,null,null,400,150,200,150,300,250,300,50
All,All,1,X L,LX,low_load,All,red,green,6,4,2,2,green,green,green,green,null,null,300,50,300,250,400,150,200,150
All,All,1,H R,RH,low_load,All,red,gray,4,6,2,1,red,red,gray,gray,partial,partial,400,150,200,150,300,250,300,50
All,All,1,B L,LB,low_load,All,red,yellow,1,4,2,6,red,red,yellow,yellow,partial,partial,300,50,300,250,400,150,200,150
All,All,1,X Q,QX,low_load,All,red,gray,1,5,6,4,red,red,red,red,total_target,total_target,300,50,300,250,400,150,200,150
All,All,1,J L,LJ,low_load,All,green,purple,5,6,2,1,green,green,green,green,total_target,total_target,300,50,300,250,400,150,200,150
2,filler_item,1,H M,MH,low_load,2,green,black,1,5,6,4,green,black,black,black,filler_item,filler_item,400,150,200,150,300,250,300,50
8,filler_item,1,Q L,LQ,low_load,8,blue,black,5,3,4,4,blue,blue,black,black,filler_item,filler_item,300,50,300,250,400,150,200,150
10,filler_item,1,M J,JM,low_load,10,green,red,4,2,5,5,green,green,red,red,filler_item,filler_item,300,50,300,250,400,150,200,150
12,filler_item,1,J L,LJ,low_load,12,red,yellow,6,6,1,1,red,red,yellow,yellow,filler_item,filler_item,300,50,300,250,400,150,200,150
4,number,2,R X,XR,low_load,4,red,yellow,1,5,4,5,red,yellow,yellow,yellow,inferior,n-3,400,150,200,150,300,250,300,50
4,number,2,X L,LX,low_load,4,blue,gray,1,1,6,4,blue,blue,gray,gray,inferior,n-2,300,50,300,250,400,150,200,150
4,number,2,J X,XJ,low_load,4,red,green,1,2,4,6,red,red,green,green,inferior,n-1,300,50,300,250,400,150,200,150
4,number,2,L R,RL,low_load,4,green,yellow,3,1,6,4,green,green,yellow,yellow,intermediate,n,300,50,300,250,400,150,200,150
4,number,2,M B,BM,low_load,4,blue,black,2,3,6,1,blue,blue,black,black,superior,n+1,300,50,300,250,400,150,200,150
4,number,2,L J,JL,low_load,4,blue,green,5,1,3,4,blue,blue,green,green,superior,n+2,300,50,300,250,400,150,200,150
4,number,2,H L,LH,low_load,4,blue,gray,5,2,6,2,blue,blue,gray,gray,superior,n+3,400,150,200,150,300,250,300,50
5,number,2,M R,RM,low_load,5,blue,red,1,1,6,5,blue,blue,red,red,inferior,n-3,400,150,200,150,300,250,300,50
5,number,2,B L,LB,low_load,5,green,purple,2,1,6,4,green,green,purple,purple,inferior,n-2,300,50,300,250,400,150,200,150
5,number,2,R H,HR,low_load,5,red,blue,3,1,4,6,red,red,blue,blue,inferior,n-1,300,50,300,250,400,150,200,150
5,number,2,H M,MH,low_load,5,green,yellow,3,2,4,3,green,green,yellow,yellow,intermediate,n,400,150,200,150,300,250,300,50
5,number,2,X M,MX,low_load,5,green,red,2,4,2,5,green,green,red,red,superior,n+1,300,50,300,250,400,150,200,150
5,number,2,Q H,HQ,low_load,5,red,purple,1,6,4,1,red,red,purple,purple,superior,n+2,400,150,200,150,300,250,300,50
5,number,2,Q R,RQ,low_load,5,blue,yellow,2,6,3,3,blue,blue,yellow,yellow,superior,n+3,300,50,300,250,400,150,200,150
Some,Some,2,L B,BL,low_load,Some,green,red,3,5,1,5,red,red,red,red,null,null,400,150,200,150,300,250,300,50
Some,Some,2,B J,JB,low_load,Some,blue,yellow,6,3,4,2,yellow,yellow,yellow,yellow,null,null,300,50,300,250,400,150,200,150
Some,Some,2,B R,RB,low_load,Some,green,blue,3,1,5,3,green,green,blue,blue,partial,partial,400,150,200,150,300,250,300,50
Some,Some,2,L R,RL,low_load,Some,green,blue,4,3,5,2,green,green,blue,blue,partial,partial,300,50,300,250,400,150,200,150
Some,Some,2,L X,XL,low_load,Some,green,black,5,5,3,3,green,green,green,green,total_target,total_target,300,50,300,250,400,150,200,150
Some,Some,2,F L,LF,low_load,Some,green,yellow,5,5,3,3,green,green,green,green,total_target,total_target,400,150,200,150,300,250,300,50
All,All,2,R B,BR,low_load,All,blue,red,5,4,3,3,red,red,red,red,null,null,300,50,300,250,400,150,200,150
All,All,2,R J,JR,low_load,All,green,black,5,2,5,3,black,black,black,black,null,null,300,50,300,250,400,150,200,150
All,All,2,B J,JB,low_load,All,green,blue,2,6,6,2,green,green,blue,blue,partial,partial,400,150,200,150,300,250,300,50
All,All,2,L R,RL,low_load,All,blue,gray,4,3,1,4,blue,blue,gray,gray,partial,partial,300,50,300,250,400,150,200,150
