n,quantifier_category,group,seq,seq_test,cognitive_load,quantifier,target_col,filler_col,t1_n,t2_n,f1_n,f2_n,t1_col,t2_col,f1_col,f2_col,overall_condition_pic,distance,t1_x,t1_y,t2_x,t2_y,f1_x,f1_y,f2_x,f2_y
Some,Some,1,Q L M,MLQ,high_load,Some,green,black,1,6,3,3,black,black,black,black,null,null,300,50,300,250,400,150,200,150
Some,Some,1,B J F,FJB,high_load,Some,blue,green,5,5,1,1,blue,blue,green,green,partial,partial,300,50,300,250,400,150,200,150
Some,Some,1,X M H,HMX,high_load,Some,green,red,2,6,4,1,green,green,red,red,partial,partial,400,150,200,150,300,250,300,50
Some,Some,1,M L F,FLM,high_load,Some,blue,black,5,1,6,2,blue,blue,blue,blue,total_target,total_target,400,150,200,150,300,250,300,50
Some,Some,1,L J M,MJL,high_load,Some,blue,red,4,5,3,3,blue,blue,blue,blue,total_target,total_target,400,150,200,150,300,250,300,50
All,All,1,J Q X,XQJ,high_load,All,blue,green,4,3,2,6,green,green,green,green,null,null,400,150,200,150,300,250,300,50
All,All,1,R J L,LJR,high_load,All,green,blue,2,6,4,3,blue,blue,blue,blue,null,null,300,50,300,250,400,150,200,150
All,All,1,X F B,BFX,high_load,All,green,blue,4,2,6,4,green,green,blue,blue,partial,partial,300,50,300,250,400,150,200,150
All,All,1,F Q L,LQF,high_load,All,blue,black,2,3,5,5,blue,blue,black,black,partial,partial,400,150,200,150,300,250,300,50
All,All,1,L B H,HBL,high_load,All,green,blue,4,1,6,2,green,green,green,green,total_target,total_target,400,150,200,150,300,250,300,50
All,All,1,H B M,MBH,high_load,All,green,yellow,2,5,5,2,green,green,green,green,total_target,total_target,400,150,200,150,300,250,300,50
2,filler_item,1,Q X F,FXQ,high_load,2,blue,gray,1,5,4,4,blue,gray,gray,gray,filler_item,filler_item,300,50,300,250,400,150,200,150
8,filler_item,1,H X B,BXH,high_load,8,blue,red,2,6,2,5,blue,blue,red,red,filler_item,filler_item,400,150,200,150,300,250,300,50
10,filler_item,1,M R X,XRM,high_load,10,green,black,4,2,6,4,green,green,black,black,filler_item,filler_item,400,150,200,150,300,250,300,50
12,filler_item,1,X F B,BFX,high_load,12,blue,red,6,6,1,3,blue,blue,red,red,filler_item,filler_item,300,50,300,250,400,150,200,150
4,number,2,M F L,LFM,high_load,4,green,red,1,3,4,4,green,red,red,red,inferior,n-3,400,150,200,150,300,250,300,50
4,number,2,Q X F,FXQ,high_load,4,green,blue,1,1,5,6,green,green,blue,blue,inferior,n-2,300,50,300,250,400,150,200,150
4,number,2,Q B H,HBQ,high_load,4,blue,green,2,1,5,5,blue,blue,green,green,inferior,n-1,400,150,200,150,300,250,300,50
4,number,2,M X R,RXM,high_load,4,green,yellow,1,3,3,6,green,green,yellow,yellow,intermediate,n,300,50,300,250,400,150,200,150
4,number,2,X J R,RJX,high_load,4,green,black,2,3,6,4,green,green,black,black,superior,n+1,400,150,200,150,300,250,300,50
4,number,2,F B M,MBF,high_load,4,red,black,1,5,5,1,red,red,black,black,superior,n+2,300,50,300,250,400,150,200,150
4,number,2,B H L,LHB,high_load,4,red,yellow,1,6,6,3,red,red,yellow,yellow,superior,n+3,400,150,200,150,300,250,300,50
5,number,2,F R J,JRF,high_load,5,blue,green,1,1,5,6,blue,blue,green,green,inferior,n-3,300,50,300,250,400,150,200,150
5,number,2,R Q M,MQR,high_load,5,blue,black,2,1,6,3,blue,blue,black,black,inferior,n-2,400,150,200,150,300,250,300,50
5,number,2,Q F H,HFQ,high_load,5,red,green,1,3,5,3,red,red,green,green,inferior,n-1,300,50,300,250,400,150,200,150
5,number,2,J H R,RHJ,high_load,5,red,black,2,3,4,4,red,red,black,black,intermediate,n,300,50,300,250,400,150,200,150
5,number,2,J H Q,QHJ,high_load,5,red,blue,2,4,5,2,red,red,blue,blue,superior,n+1,400,150,200,150,300,250,300,50
5,number,2,M X F,FXM,high_load,5,blue,red,4,3,3,3,blue,blue,red,red,superior,n+2,300,50,300,250,400,150,200,150
5,number,2,J B F,FBJ,high_load,5,red,yellow,2,6,4,1,red,red,yellow,yellow,superior,n+3,300,50,300,250,400,150,200,150
Some,Some,2,M B J,JBM,high_load,Some,red,blue,1,5,2,6,blue,blue,blue,blue,null,null,400,150,200,150,300,250,300,50
Some,Some,2,X L Q,QLX,high_load,Some,blue,red,5,3,4,2,red,red,red,red,null,null,400,150,200,150,300,250,300,50
Some,Some,2,H B M,MBH,high_load,Some,red,purple,6,1,6,3,red,red,purple,purple,partial,partial,300,50,300,250,400,150,200,150
Some,Some,2,R X J,JXR,high_load,Some,red,purple,1,4,5,5,red,red,purple,purple,partial,partial,300,50,300,250,400,150,200,150
Some,Some,2,R B L,LBR,high_load,Some,red,purple,4,4,3,3,red,red,red,red,total_target,total_target,400,150,200,150,300,250,300,50
Some,Some,2,X M R,RMX,high_load,Some,red,green,3,3,4,3,red,red,red,red,total_target,total_target,400,150,200,150,300,250,300,50
All,All,2,B F R,RFB,high_load,All,red,blue,4,4,5,3,blue,blue,blue,blue,null,null,400,150,200,150,300,250,300,50
All,All,2,H L R,RLH,high_load,All,blue,yellow,4,3,4,5,yellow,yellow,yellow,yellow,null,null,300,50,300,250,400,150,200,150
All,All,2,X B F,FBX,high_load,All,green,purple,6,2,6,2,green,green,purple,purple,partial,partial,300,50,300,250,400,150,200,150
All,All,2,X J B,BJX,high_load,All,green,blue,1,6,5,1,green,green,blue,blue,partial,partial,400,150,200,150,300,250,300,50
All,All,2,F R L,LRF,high_load,All,red,black,6,2,4,3,red,red,red,red,total_target,total_target,400,150,200,150,300,250,300,50
All,All,2,J R M,MRJ,high_load,All,red,black,3,2,5,5,red,red,red,red,total_target,total_target,300,50,300,250,400,150,200,150
